id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Colten;Von;Susan23@hotmail.com;treasure;2025-05-22T16:34:05;31965;32712
2;Junius;Huels;Mack48@gmail.com;whoever;2025-05-22T06:58:25;2790;5462
3;Camila;Raynor;Brandon_Pfannerstill-Langworth@hotmail.com;deployment an;2025-05-22T15:03:38;24715;31082
4;Mittie;Wunsch-Schiller;Gudrun_Ruecker@yahoo.com;except;2025-05-23T02:07:10;20105;4738
5;Kenya;Robel;Jeremy_Goodwin@hotmail.com;hefty standard;2025-05-22T14:38:41;19735;2017
6;Tomas;Kirlin;Bo_Satterfield@hotmail.com;inasmuch;2025-05-22T08:21:23;1461;19295
7;Prudence;Larson;Adolf.OHara88@yahoo.com;hassle metabolise;2025-05-22T19:49:41;7498;26433
8;Ramiro;Senger;Kurtis.Aufderhar14@gmail.com;circa phew;2025-05-22T12:46:17;21115;11208
9;Felipe;Mosciski-Kris;Brandyn_Reilly@yahoo.com;quietly gummy waterlogged;2025-05-23T00:35:07;28336;3249
10;Juwan;Sporer;Curt.OConner80@hotmail.com;boohoo bungalow modulo;2025-05-22T20:59:53;14056;25337
